,Gene,EffectSize,P-Value,FDR,pBH,FDR2,pBH2,FDR-2stage,P-2stage,-log10(pBH),Significant
0,ENSG00000000003,1.479705110906048,0.13895196107293467,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
1,ENSG00000000419,0.20792893912677293,0.8352844528085881,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
2,ENSG00000000457,-0.3715198961463577,0.710250339693907,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
3,ENSG00000000460,-1.6097234323999288,0.10745824708297122,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
4,ENSG00000000938,0.8901602089579408,0.37337986723785366,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
5,ENSG00000000971,0.061615492999708525,0.950869038756057,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
6,ENSG00000001036,-0.6389749649705917,0.5228392183184313,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
7,ENSG00000001084,-0.932799552864203,0.35092347213854946,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
8,ENSG00000001167,-0.11037265801476216,0.912113836367886,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
9,ENSG00000001460,-0.04217367577015734,0.9663602475762213,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
10,ENSG00000001461,-1.6180617056143771,0.10564930022398471,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
11,ENSG00000001497,-0.6690727375776393,0.5034490797031024,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
12,ENSG00000001561,-1.479055413916846,0.13912550517741737,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
13,ENSG00000001617,1.6165260300378017,0.10598063019062455,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
14,ENSG00000001626,-1.3111116001440393,0.18982006220661707,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
15,ENSG00000001629,-0.7635099410178924,0.44515933598636714,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
16,ENSG00000001630,-1.5199724538453736,0.12851789893784168,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
17,ENSG00000001631,0.9200032912835898,0.3575710392967163,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
18,ENSG00000002016,0.048159179654858185,0.9615893823324619,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
19,ENSG00000002079,0.8251047813576309,0.4093121054200134,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
20,ENSG00000002330,0.233886458530296,0.8150731262093446,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
21,ENSG00000002549,1.5859870200922825,0.1127422540132578,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
22,ENSG00000002586,1.031798648476864,0.30216645255164754,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
23,ENSG00000002587,0.4778459394894696,0.6327598611178094,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
24,ENSG00000002745,0.34666973975737664,0.7288394461871327,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
25,ENSG00000002746,-0.8273776725396433,0.40802303163284304,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
26,ENSG00000002822,0.568546544799908,0.5696639102053968,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
27,ENSG00000002834,0.7783511260028408,0.43636204293935466,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
28,ENSG00000002919,-0.01462430444835032,0.988331909179306,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
29,ENSG00000002933,1.4693302690376404,0.14174323062483396,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
30,ENSG00000003056,0.1408429008315413,0.8879940508785835,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
31,ENSG00000003096,0.8439511305814169,0.3986967145158612,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
32,ENSG00000003137,-1.0678201016805826,0.2856016687113525,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
33,ENSG00000003147,-0.21201175729555594,0.8320978618273017,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
34,ENSG00000003249,-0.17867312128498614,0.8581943756391035,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
35,ENSG00000003393,-0.39037104563446307,0.6962621950989745,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
36,ENSG00000003400,-0.7091127634735253,0.47825450305829176,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
37,ENSG00000003402,0.6943181937149715,0.4874826837126739,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
38,ENSG00000003436,0.08668159067027562,0.9309246098481914,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
39,ENSG00000003509,0.3753491960604785,0.7074007829951006,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
40,ENSG00000003756,-1.9441362771314397,0.05187901962408311,False,1.0,False,0.9893036676858488,False,1.0,-0.0,False
41,ENSG00000003987,-1.4253402088226546,0.15405888249170738,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
42,ENSG00000003989,0.26959752055752984,0.7874699080471625,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
43,ENSG00000004059,-0.8123920087834032,0.41656673017588064,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
44,ENSG00000004139,-0.03554899690496137,0.9716419771628764,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
45,ENSG00000004142,0.09148888536468298,0.9271041373921661,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
46,ENSG00000004399,0.9355615202155069,0.3494989944620631,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
47,ENSG00000004455,-0.11777036303020892,0.9062496129657699,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
48,ENSG00000004468,-1.5206226030663108,0.12835457129041605,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
49,ENSG00000004478,1.021345278800404,0.30709088130026574,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
50,ENSG00000004487,1.2049487562501122,0.22822308485067055,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
51,ENSG00000004534,0.5116924134046736,0.6088662965690895,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
52,ENSG00000004660,0.1670270811515397,0.867348740556825,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
53,ENSG00000004700,0.05305844388636986,0.957685341760543,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
54,ENSG00000004766,-0.08054724103397494,0.9358020253481754,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
55,ENSG00000004776,1.9432397739582414,0.051987194485243686,False,1.0,False,0.9893036676858488,False,1.0,-0.0,False
56,ENSG00000004777,0.7588968456181981,0.44791426604831575,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
57,ENSG00000004779,-0.132939002664451,0.8942416209742647,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
58,ENSG00000004799,-0.044150634454380534,0.9647843316483629,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
59,ENSG00000004838,0.8224657147014268,0.41081189197602286,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
60,ENSG00000004848,0.4503585540270561,0.6524519246491178,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
61,ENSG00000004864,-2.232055586524803,0.025611289320770784,False,1.0,False,0.9408116883312586,False,0.9875336235731116,-0.0,False
62,ENSG00000004866,-0.11162655765211746,0.9111195136596255,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
63,ENSG00000004897,-0.21229509650765438,0.8318768206702745,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
64,ENSG00000004939,2.384602560973465,0.017097581453147725,False,1.0,False,0.9293856819294195,False,0.975540186794077,-0.0,False
65,ENSG00000004948,0.39530305434607943,0.692619245554423,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
66,ENSG00000004961,-0.16272324068074323,0.8707363474606613,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
67,ENSG00000004975,-0.2829445517557073,0.7772193420169069,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
68,ENSG00000005007,1.833651797758458,0.06670569806089337,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
69,ENSG00000005020,0.739233483800454,0.4597652318195583,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
70,ENSG00000005022,-0.7679489840118292,0.44251749421617026,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
71,ENSG00000005059,1.537622535385666,0.12414093413054386,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
72,ENSG00000005075,0.9625745076741228,0.3357610956738736,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
73,ENSG00000005100,0.6862959591824173,0.49252649657738234,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
74,ENSG00000005108,0.9156611014229616,0.35984467310972346,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
75,ENSG00000005156,-0.5719806139368905,0.567335108289486,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
76,ENSG00000005175,0.5958057148568671,0.5513050255016199,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
77,ENSG00000005187,-0.038072155709491955,0.9696301517337931,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
78,ENSG00000005189,1.0338983727345925,0.30118367583853134,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
79,ENSG00000005194,-0.41807219475302054,0.6758943337103712,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
80,ENSG00000005206,-0.7352713506369977,0.46217425258444633,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
81,ENSG00000005238,0.6039743152177137,0.5458607187371747,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
82,ENSG00000005243,0.9382259707381833,0.34812829451512894,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
83,ENSG00000005249,-0.42003882507963375,0.6744570912230499,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
84,ENSG00000005302,-0.6980946408119082,0.4851180094035573,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
85,ENSG00000005339,0.17100760625437791,0.8642177847711677,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
86,ENSG00000005379,0.6867527412671834,0.4922385551047038,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
87,ENSG00000005381,0.9683455488688368,0.33287182377006774,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
88,ENSG00000005421,0.8637263430120742,0.3877382388092362,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
89,ENSG00000005436,-1.5916572178744326,0.11146174607512417,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
90,ENSG00000005448,-0.9771804783049067,0.3284798108269844,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
91,ENSG00000005469,-0.056752979649426404,0.9547419703311741,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
92,ENSG00000005471,1.8978952573562706,0.05770988125233925,False,1.0,False,0.9922549927787494,False,1.0,-0.0,False
93,ENSG00000005483,0.15794676226211052,0.87449874955128,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
94,ENSG00000005486,-0.34527593771163156,0.7298869345583567,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
95,ENSG00000005513,-0.8867456071874075,0.37521587796427747,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
96,ENSG00000005700,-0.8858271073238855,0.37571070023168673,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
97,ENSG00000005801,0.14674120129508192,0.883336296666848,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
98,ENSG00000005810,-0.36670005809030787,0.7138427632243087,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
99,ENSG00000005812,-0.5848782515596368,0.5586295831687116,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
100,ENSG00000005844,1.240104926177454,0.2149365871499389,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
101,ENSG00000005882,0.37965497925522135,0.704201543512218,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
102,ENSG00000005884,0.10232971093513654,0.9184949731689499,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
103,ENSG00000005889,0.2399086672730042,0.8104010615453006,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
104,ENSG00000005893,-2.0652101356776207,0.03890312191670545,False,1.0,False,0.9835441399843344,False,1.0,-0.0,False
105,ENSG00000005955,0.23268528339545402,0.816005797735951,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
106,ENSG00000005961,1.018407883748621,0.30848415713914146,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
107,ENSG00000005981,-0.28036304101882537,0.7791989894122571,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
108,ENSG00000006007,-1.459231051340079,0.14450152511063408,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
109,ENSG00000006015,0.21919936768445195,0.826494748021162,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
110,ENSG00000006016,-0.178115830676111,0.8586320097436987,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
111,ENSG00000006025,0.7409198872733013,0.4587420164602607,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
112,ENSG00000006042,-2.36281264800509,0.018136835910316836,False,1.0,False,0.9293856819294195,False,0.975540186794077,-0.0,False
113,ENSG00000006047,1.650463441926332,0.09884818459527232,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
114,ENSG00000006062,0.6139388307060085,0.5392557492279946,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
115,ENSG00000006071,-0.185470768537308,0.8528598058119393,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
116,ENSG00000006114,-0.4982867712420447,0.6182819305767724,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
117,ENSG00000006116,-0.5685766549169176,0.5696434713302989,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
118,ENSG00000006118,1.403715452770866,0.16040359904912183,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
119,ENSG00000006125,-0.7708930752383614,0.4407703120013796,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
120,ENSG00000006128,-0.37521441202169875,0.7075010126613588,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
121,ENSG00000006194,1.4730597113537744,0.1407349357292995,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
122,ENSG00000006210,0.08490138752993918,0.9323397886828912,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
123,ENSG00000006282,1.9680407333403251,0.04906335112851311,False,1.0,False,0.9893036676858488,False,1.0,-0.0,False
124,ENSG00000006283,0.21570426136755755,0.8292182793244507,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
125,ENSG00000006327,1.9325224070463516,0.05329505914347059,False,1.0,False,0.9893036676858488,False,1.0,-0.0,False
126,ENSG00000006377,0.37746134428057015,0.7058307862165929,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
127,ENSG00000006432,-1.143055369807391,0.25301560272286894,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
128,ENSG00000006451,-0.040531824016894466,0.9676691359835485,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
129,ENSG00000006453,0.23806791151722365,0.8118284221918204,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
130,ENSG00000006459,-0.4624683643058158,0.643745483810742,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
131,ENSG00000006468,-0.3359061100787086,0.7369416693376643,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
132,ENSG00000006530,-1.0015304343602138,0.3165704339916813,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
133,ENSG00000006534,0.5492709758476917,0.5828195024987527,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
134,ENSG00000006555,1.7819331953077016,0.0747601264670377,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
135,ENSG00000006576,-0.13419284270700113,0.8932500854159688,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
136,ENSG00000006607,-0.37799036478666187,0.7054377517057937,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
137,ENSG00000006611,-2.321269541463754,0.02027230102781147,False,1.0,False,0.9293856819294195,False,0.975540186794077,-0.0,False
138,ENSG00000006625,-0.35102266351466105,0.7255713458966414,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
139,ENSG00000006634,0.5644816540183923,0.5724263822357907,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
140,ENSG00000006652,0.7815140957500507,0.434500189573241,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
141,ENSG00000006695,0.6356212688589261,0.525023303323126,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
142,ENSG00000006704,0.601621647554138,0.5474260158550802,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
143,ENSG00000006712,-0.24069782574929596,0.8097893242369825,False,1.0,False,0.9999576923771368,False,1.0,-0.0,False
