,Gene,EffectSize,P-Value,FDR,pBH
0,ENSG00000000003,1.371376825181269,0.1702575179592979,False,1.0
1,ENSG00000000419,0.2523020753703638,0.8008075841031137,False,1.0
2,ENSG00000000457,-0.28514975970148587,0.7755294090245264,False,1.0
3,ENSG00000000460,-1.2771447590395741,0.2015511453305714,False,1.0
4,ENSG00000000938,1.093049886260892,0.2743718972102913,False,1.0
5,ENSG00000000971,0.10680261844170032,0.9149455701434281,False,1.0
6,ENSG00000001036,-0.6071164236439142,0.5437736515150535,False,1.0
7,ENSG00000001084,-0.9235216509352724,0.35573542275303394,False,1.0
8,ENSG00000001167,-0.048771531118949225,0.9611013700415484,False,1.0
9,ENSG00000001460,-0.1623829000743463,0.8710043358863883,False,1.0
10,ENSG00000001461,-1.7882377763335153,0.07373765399246028,False,1.0
11,ENSG00000001497,-0.519218274708042,0.6036085366161468,False,1.0
12,ENSG00000001561,-1.5399675145474365,0.12356827211559293,False,1.0
13,ENSG00000001617,2.8407388217040785,0.004500915766724205,False,1.0
14,ENSG00000001626,-1.0908300099866328,0.2753476887748374,False,1.0
15,ENSG00000001629,-0.41689074124269165,0.6767583260988347,False,1.0
16,ENSG00000001630,-1.4668064633262012,0.14242871097546714,False,1.0
17,ENSG00000001631,1.2983649960080346,0.19416194154926436,False,1.0
18,ENSG00000002016,-0.27023223536575347,0.7869815946591836,False,1.0
19,ENSG00000002079,1.1440716100873396,0.2525939403080466,False,1.0
20,ENSG00000002330,0.014239111610793274,0.9886392165916564,False,1.0
21,ENSG00000002549,0.8215990061575823,0.4113051551190915,False,1.0
22,ENSG00000002586,1.0579147424486914,0.2900943134019801,False,1.0
23,ENSG00000002587,0.8275569730141946,0.4079214441233938,False,1.0
24,ENSG00000002745,0.16491923491536672,0.8690075524311751,False,1.0
25,ENSG00000002746,-0.25733614767118607,0.7969192899930938,False,1.0
26,ENSG00000002822,0.5104812538547479,0.6097143445469673,False,1.0
27,ENSG00000002834,0.20255936434841976,0.8394794540524326,False,1.0
28,ENSG00000002919,-0.22429047793408544,0.8225312849914478,False,1.0
29,ENSG00000002933,1.1229071579098764,0.2614769271886237,False,1.0
30,ENSG00000003056,-0.06698586762135199,0.946592953933296,False,1.0
31,ENSG00000003096,0.34085179457148823,0.7332151562630378,False,1.0
