,Gene,EffectSize,P-Value,FDR,pBH
0,ENSG00000000003,0.3031814174549335,0.0573681893770762,False,0.5400496977580589
1,ENSG00000000419,-0.039675901619196624,0.681697481948366,False,0.8955267358980973
2,ENSG00000000457,-0.048448592320553645,0.582705955763124,False,0.8521694569577132
3,ENSG00000000460,-0.03105054909315775,0.7658298083548907,False,0.927917503390699
4,ENSG00000000938,0.5016463962333703,0.1231629915794161,False,0.6010988376186075
5,ENSG00000000971,0.10294763811568464,0.7803357148986685,False,0.9334922219427597
6,ENSG00000001036,0.033401323487292064,0.7029992958007644,False,0.9054685102278909
7,ENSG00000001084,0.024557173180765383,0.7547210793298536,False,0.923976686591569
8,ENSG00000001167,0.07352224072842871,0.2899566415445366,False,0.71023344849741
9,ENSG00000001460,-0.09108028070364396,0.29852750735317957,False,0.7145028272901603
10,ENSG00000001461,-0.13774448664834482,0.239509936214099,False,0.6808308039254745
11,ENSG00000001497,0.23834637560788827,0.0013500047669264895,False,0.19964361450349494
12,ENSG00000001561,-0.1335626740949025,0.24453138554648624,False,0.6830519463077253
13,ENSG00000001617,0.3166845244448511,0.30567738739905126,False,0.7181787702856365
14,ENSG00000001626,-0.043961988640758815,0.8951948325953278,False,0.9718979146041526
15,ENSG00000001629,0.02018183098991037,0.793179840754423,False,0.9375128728674402
16,ENSG00000001630,-0.13737549525332504,0.26616899580708,False,0.6957931461026408
17,ENSG00000001631,0.02556684047611029,0.5374898999420996,False,0.8364733003370519
18,ENSG00000002016,0.02594104549429807,0.8056501856163442,False,0.9424180753110316
19,ENSG00000002079,0.3569977675368032,0.28482128159223885,False,0.7070472291631454
20,ENSG00000002330,-0.12273000553123635,0.118463197682883,False,0.5954706571116157
21,ENSG00000002549,0.10789607759149109,0.6809740516058901,False,0.8953058637735384
22,ENSG00000002586,0.4529768371431419,0.1043072290339336,False,0.5868232764688356
23,ENSG00000002587,-0.04643547156979263,0.791493853426402,False,0.9371977476852569
24,ENSG00000002745,-0.09129845325324698,0.5952546043442037,False,0.8576446843849802
25,ENSG00000002746,-0.24637474045415458,0.15449047944763358,False,0.621876586840803
26,ENSG00000002822,-0.041317694807673645,0.5051430770929028,False,0.8209766785894326
27,ENSG00000002834,-0.11272676306525102,0.17626097158956722,False,0.6339525331627296
28,ENSG00000002919,-0.06143101330740862,0.3862905950993243,False,0.7618779766202356
29,ENSG00000002933,0.3814922042280913,0.2144158705110797,False,0.6643975862691713
30,ENSG00000003056,-0.05274666461014347,0.6184017505057613,False,0.8679854483232966
31,ENSG00000003096,0.050215492457500864,0.7226758010145041,False,0.9135651352138598
33,ENSG00000003147,-0.14661255000792411,0.3097546859692959,False,0.7197300466586353
34,ENSG00000003249,-0.15094129316740665,0.3375509244946734,False,0.7338554061658652
35,ENSG00000003393,-0.024201900965545774,0.8159482796275831,False,0.945705992803525
36,ENSG00000003400,0.1820988212876229,0.5208297426701604,False,0.8303537839523144
37,ENSG00000003402,0.3123846696275688,0.04043194338967293,False,0.5262438582881566
38,ENSG00000003436,0.4580404849798527,0.046052705604897104,False,0.5356693218599178
39,ENSG00000003509,-0.053448879462836794,0.49450757549974766,False,0.8148913347051504
40,ENSG00000003756,0.0458682502100027,0.1812138789638189,False,0.6382296692465436
41,ENSG00000003987,-0.19567229358232185,0.19793398677412044,False,0.6533767383785327
42,ENSG00000003989,0.6115808662324629,0.0387592470771226,False,0.5262438582881566
43,ENSG00000004059,-0.31457483756881494,0.056964706897012565,False,0.5400496977580589
44,ENSG00000004139,-0.013279292107504804,0.8825615585845765,False,0.9686923991402149
45,ENSG00000004142,-0.13260433421357032,0.05399644539243037,False,0.5389522849502388
46,ENSG00000004399,0.12332028281162792,0.29004929237829646,False,0.71023344849741
47,ENSG00000004455,0.07648354946116848,0.4136140794762624,False,0.7782859274058636
48,ENSG00000004468,0.3770139968908411,0.26001010970783756,False,0.690986487226981
49,ENSG00000004478,-0.1654199536573305,0.3987727358929307,False,0.7709285927877068
50,ENSG00000004487,-0.07634600739814117,0.31751890652846626,False,0.7234474552826855
51,ENSG00000004534,0.13352432936950415,0.08381210990989413,False,0.5725889998055461
52,ENSG00000004660,-0.19690918724186904,0.24280465217237845,False,0.6822193291852289
53,ENSG00000004700,-0.05891617752791687,0.6770803181198397,False,0.893471639707945
54,ENSG00000004766,-0.21962083505763463,0.005083735894070674,False,0.3646065628616738
55,ENSG00000004776,0.40763286916590563,0.08469559693785463,False,0.5725889998055461
56,ENSG00000004777,0.19631542566421095,0.22456048635220072,False,0.6723892222218956
57,ENSG00000004779,-0.252029558140515,0.047235806013936045,False,0.5356693218599178
58,ENSG00000004799,0.3796374272743132,0.3047530954159229,False,0.7175983543144571
59,ENSG00000004838,0.2965728125450501,0.18199083204107147,False,0.6387193549717919
60,ENSG00000004848,0.20739503926044278,0.30103894097938166,False,0.7145028272901603
61,ENSG00000004864,-0.03728015303734404,0.8219962284259341,False,0.9475692540917957
62,ENSG00000004866,-0.07345406213167432,0.4083445118045612,False,0.7755525783637247
63,ENSG00000004897,-0.09508847062021121,0.1436765508881467,False,0.6126135224263969
64,ENSG00000004948,0.6820972797413422,0.032553161003860735,False,0.5205441390756446
65,ENSG00000004961,-0.16097348650584548,0.14396136803653162,False,0.6129697371129799
66,ENSG00000004975,0.02112156034685146,0.7707113556272205,False,0.9298514237110512
67,ENSG00000005007,0.0002573112309685097,0.9971495854069804,False,0.9989985214803001
68,ENSG00000005020,-0.18105260477564644,0.198551684581867,False,0.6534856414878923
69,ENSG00000005022,-0.09813616031868172,0.2936080976605886,False,0.7121690318041627
70,ENSG00000005059,0.24511299562545735,0.34165089793296566,False,0.7356562807757923
71,ENSG00000005075,0.21431971171018,0.00886055552510027,False,0.4249270426389064
72,ENSG00000005100,-0.06143485480180849,0.39065537732352196,False,0.7649985433651869
73,ENSG00000005108,0.09067992525227074,0.6233624941782855,False,0.8699316908666523
74,ENSG00000005156,-0.014366383807853723,0.8310635950269301,False,0.9505487542490051
75,ENSG00000005175,-0.07296735806746113,0.3269568681556555,False,0.7284675575082408
76,ENSG00000005187,0.2742086055668496,0.32271582024819945,False,0.7254550366632961
77,ENSG00000005189,0.04469480991375861,0.7940699739839935,False,0.9376645859114444
78,ENSG00000005194,-0.16441805333918044,0.10496188997554161,False,0.5868232764688356
79,ENSG00000005206,0.04114755890106717,0.5972994194461778,False,0.8587539410220449
80,ENSG00000005238,0.11024865323856725,0.17046081498309973,False,0.6309466634470807
81,ENSG00000005243,0.33548332141824994,0.3686341183865791,False,0.7524716303096298
82,ENSG00000005249,-0.3003481613002717,0.07922159023198236,False,0.5707727188289942
83,ENSG00000005302,-0.13250320233966395,0.001199311167147247,False,0.18623368052946507
84,ENSG00000005339,0.055058029882687584,0.44669018723093734,False,0.7946667344723729
85,ENSG00000005379,0.09752568801781772,0.4752909617824189,False,0.8059539204464686
86,ENSG00000005381,0.36728342465938907,0.2099307296704226,False,0.6616191416463345
87,ENSG00000005421,0.5638811684750078,0.01675026469762431,False,0.47078111644579884
