,Gene,EffectSize,P-Value,FDR,pBH
2778,ENSG00000104783,0.9241131181260002,0.0001477120774811247,True,0.03994698868419315
3079,ENSG00000106511,0.8821941548679063,1.3001097443071432e-05,True,0.0053037866840218014
3623,ENSG00000111644,0.8482246825767449,2.1468489618634906e-24,True,5.7413897403435955e-21
3680,ENSG00000111886,0.7732567020607551,1.995021102049763e-05,True,0.007275479228066022
6575,ENSG00000136235,0.61186109352255,1.1516032291972542e-05,True,0.005039625113372493
8003,ENSG00000146250,0.7892934948148046,1.820597744681756e-05,True,0.0067415334025761825
9213,ENSG00000158055,0.7529286533349338,2.837502263111509e-10,True,3.1043564532195865e-07
10735,ENSG00000166831,1.1168672231718189,0.0001639947068327301,True,0.04337569888743935
11941,ENSG00000173338,0.6151479191734602,6.43404465795608e-05,True,0.019118644552141347
12270,ENSG00000175544,0.7213581963454971,1.8938656752192658e-09,True,1.7532097283404811e-06
14840,ENSG00000197769,0.6378584403279297,2.9363567472413327e-06,True,0.0016827421559369438
15531,ENSG00000204930,0.7289571890840526,1.750721849331903e-07,True,0.00011088980050413046
16025,ENSG00000214188,0.751146803105162,9.111771864376021e-05,True,0.025801322000431347
17762,ENSG00000229569,0.6320603961123842,1.2136341404156202e-08,True,9.73698670855452e-06
17857,ENSG00000230001,0.91059672522596,3.6059360867520076e-06,True,0.0019725289925462287
19601,ENSG00000238276,0.7973580443228945,4.3771108602583163e-23,True,1.0535268129555742e-19
21998,ENSG00000258111,0.6587561028423535,5.8626915609165984e-05,True,0.017638640397462702
