,Gene,EffectSize,P-Value,FDR,pBH
0,ENSG00000000003,-0.10060278871761175,0.6402017687137329,False,0.9061762926873833
1,ENSG00000000419,-0.0955264215816959,0.04900103213944361,False,0.38410623047384274
2,ENSG00000000457,0.03583124067632265,0.6055885002512308,False,0.8937292416744237
3,ENSG00000000460,0.027007265356090323,0.6784483386159184,False,0.9182589801691555
4,ENSG00000000938,-0.09798521253848716,0.6646421061577747,False,0.9124695441863263
5,ENSG00000000971,-0.28866182464397944,0.3185538914464102,False,0.7475252832601724
6,ENSG00000001036,0.07354707554483049,0.39497968593755617,False,0.7959615814130658
7,ENSG00000001084,-0.03593986331519635,0.20024789712626767,False,0.6412751528538565
8,ENSG00000001167,0.16575790864202175,0.0057243879241918845,False,0.1562892594784954
9,ENSG00000001460,-0.05195943276176099,0.4352421222422096,False,0.8171397080232148
10,ENSG00000001461,-0.07946008087226314,0.38806125655157264,False,0.7927230583312065
11,ENSG00000001497,0.07642244202572851,0.12205431992353434,False,0.5360549966815786
12,ENSG00000001561,-0.12054934420313661,0.3732128027138374,False,0.7824917480254716
13,ENSG00000001617,0.1436796019961862,0.4921184981419727,False,0.8461703113835677
14,ENSG00000001626,0.37325551701910853,0.00013147160999814493,True,0.017140795804645784
15,ENSG00000001629,0.026538017340994518,0.6619630683188091,False,0.9116854613462794
17,ENSG00000001631,0.054900247104656574,0.1843175620053259,False,0.6259330953165464
18,ENSG00000002016,0.027699213181326454,0.7237700741988586,False,0.932999276303911
19,ENSG00000002079,0.4113155160925829,0.11092763465963379,False,0.5139856148577003
20,ENSG00000002330,-0.11074529268567236,0.19033127057554888,False,0.6324060607897926
21,ENSG00000002549,0.11560572304826376,0.13349801813772771,False,0.5583147426423224
22,ENSG00000002586,0.050472181512845035,0.7897417338943993,False,0.9525607537847992
23,ENSG00000002587,0.04724992149484226,0.7412321871680008,False,0.9369122971096135
25,ENSG00000002746,-0.11295589396405425,0.21970060878474063,False,0.663205247580025
26,ENSG00000002822,-0.06408583339043179,0.32508557270931693,False,0.7504110073875533
27,ENSG00000002834,-0.07971120087285526,0.19387127740066112,False,0.6348484174738454
28,ENSG00000002919,-0.0052973751607043595,0.9368570752578479,False,0.9848096274633725
29,ENSG00000002933,0.14969232968099339,0.26663629020806967,False,0.7069827388436253
30,ENSG00000003056,-0.1371542290224151,0.004004712829527539,False,0.13108232811684853
31,ENSG00000003096,-0.33991566262131423,0.0004549972635785874,True,0.03969594547318901
32,ENSG00000003137,0.0494695109171809,0.7373596778197836,False,0.9360634830817477
33,ENSG00000003147,-0.08070490417784118,0.11029782153789393,False,0.5127998754621632
34,ENSG00000003249,-0.21374481386893232,0.06773652213063482,False,0.4364353406920264
35,ENSG00000003393,-0.01489315870592477,0.857521230101393,False,0.9689597422807978
36,ENSG00000003400,0.08840020746424189,0.6456411399335735,False,0.9072537932713307
37,ENSG00000003402,0.21086829704731982,0.010554666236196206,False,0.1996268454306482
38,ENSG00000003436,0.364794125416,0.02437716151156259,False,0.29008108937812555
39,ENSG00000003509,-0.006083897819244593,0.8932761068476098,False,0.9761371124189855
40,ENSG00000003756,0.053107455560301955,0.17263516123631428,False,0.6146489983744016
41,ENSG00000003987,-0.034439517778439864,0.18680632558829846,False,0.6271104293255667
42,ENSG00000003989,0.04179568634190747,0.8666010981524205,False,0.9696860105396784
43,ENSG00000004059,-0.13617509601610456,0.29844514997845095,False,0.7311981399877835
44,ENSG00000004139,0.02103382653174124,0.7675791152616481,False,0.9446873912601871
45,ENSG00000004142,-0.10248828653136846,0.06184242253460026,False,0.4203799354892994
46,ENSG00000004399,0.0645857575134592,0.788896509656502,False,0.9525607537847992
47,ENSG00000004455,0.016331985532376147,0.8662810685270875,False,0.9696860105396784
48,ENSG00000004468,0.14958159653005723,0.4344806817394311,False,0.8167039320625843
49,ENSG00000004478,-0.08812876833984055,0.5378286970216348,False,0.8659344622723872
50,ENSG00000004487,-0.06899186057249265,0.21062997008662643,False,0.6532915701772203
51,ENSG00000004534,0.005302574559040691,0.9403543236891173,False,0.985762164145512
52,ENSG00000004660,-0.06803259254335535,0.6284278000313501,False,0.9018870165729396
53,ENSG00000004700,-0.05350717785144971,0.3775863638341097,False,0.7860287673448169
54,ENSG00000004766,-0.0956068110311353,0.01683767270064874,False,0.24989282452033845
55,ENSG00000004776,0.22276122802149675,0.37676217481241037,False,0.7853512860121491
56,ENSG00000004777,0.14409808442021624,0.8217939916549187,False,0.9597789800831431
57,ENSG00000004779,-0.23268211457140567,0.0041996765499883095,False,0.13391868818737324
58,ENSG00000004799,0.16539102810764472,0.6852386550352736,False,0.920990410494022
59,ENSG00000004838,0.08585029019879233,0.7503162069378977,False,0.9394925486455966
61,ENSG00000004866,-0.11659023978561416,0.24483753152127552,False,0.6883034032724701
62,ENSG00000004897,-0.044315261956820354,0.3557057983197066,False,0.7714105655177489
64,ENSG00000004961,-0.07945264883497276,0.3527054212906038,False,0.7693721217158134
65,ENSG00000004975,-0.05152632489247779,0.4835360100974805,False,0.8423819613289056
66,ENSG00000005001,-0.372666215187048,0.12470691632586524,False,0.5414360385011012
67,ENSG00000005007,0.12165188489589955,0.05439636686839246,False,0.3974737046331183
68,ENSG00000005020,-0.15368055239274897,0.3001310329206286,False,0.7325558351902638
69,ENSG00000005022,-0.13372990770927676,0.19682536113729965,False,0.6384856242540276
70,ENSG00000005059,-0.2654478307069174,0.43271484265261695,False,0.8160850048786206
71,ENSG00000005075,-0.07759436715779135,0.17853804220886393,False,0.6212332302384476
72,ENSG00000005100,0.011459296752893549,0.7539521815240722,False,0.9399689880833743
73,ENSG00000005108,-0.09119542041246559,0.3403626924588996,False,0.7608649306538401
74,ENSG00000005156,0.04824823916017042,0.6702685444175565,False,0.9151279871906117
75,ENSG00000005175,0.13245407081348257,0.07586068823083104,False,0.45248490531402785
76,ENSG00000005187,0.3414342621602166,0.27295393630010945,False,0.7121993161858472
77,ENSG00000005189,0.0025687591586420946,0.981792908489,False,0.9957754661450747
78,ENSG00000005194,-0.060703790755506755,0.34471937913879425,False,0.7642882888848065
79,ENSG00000005206,-0.06880014863211997,0.3937979381152312,False,0.7948916021431827
80,ENSG00000005238,0.005818043692381995,0.9735518107201283,False,0.9945120113276741
81,ENSG00000005243,-0.024912648821684483,0.8856059303520647,False,0.9743704559486126
82,ENSG00000005249,-0.28568086308397117,0.0270511885268113,False,0.302397366156893
83,ENSG00000005302,-0.0704619468634207,0.42447572702633996,False,0.81192837337425
84,ENSG00000005339,0.1369161324087093,0.016434926037228157,False,0.24638587115371693
85,ENSG00000005379,-0.1744007719365013,0.2785832252949715,False,0.7176246985703633
86,ENSG00000005381,0.19871979363612824,0.0006700778094740025,False,0.050325228881757854
87,ENSG00000005421,0.2544535887713586,0.021042256284345473,False,0.2745723396095009
88,ENSG00000005436,0.032293057376544296,0.5943002287005519,False,0.888254357406692
89,ENSG00000005448,-0.16560201022796925,0.04241506161117307,False,0.36429546069966445
90,ENSG00000005469,0.07681820319384934,0.23719200283044817,False,0.6802897380902272
91,ENSG00000005471,0.3847139113728242,0.057483972212389337,False,0.40769272908004645
92,ENSG00000005483,0.13242345853777598,0.010587596417695222,False,0.1999952734033674
93,ENSG00000005486,-0.036399925134330345,0.6770502108060603,False,0.9177938231665397
94,ENSG00000005513,0.20178237737320068,0.05357776040205651,False,0.3960877710378501
95,ENSG00000005700,0.012457821456485108,0.7705152559656379,False,0.9458528191057687
96,ENSG00000005801,0.036586936451571725,0.2677169635684069,False,0.7080236551033641
97,ENSG00000005810,-0.1585684879416633,0.008513161629229014,False,0.1845365017306981
98,ENSG00000005812,-0.08633513685816227,0.03112174672363351,False,0.31985933401920413
99,ENSG00000005844,-0.18325758208750423,0.4370939816344379,False,0.817963805994924
100,ENSG00000005882,-0.020982829163563872,0.837314282535579,False,0.96343658856677
101,ENSG00000005884,-0.0622920743922328,0.44742997748171087,False,0.8224453999904532
102,ENSG00000005889,0.10125957559648664,0.36807624037901443,False,0.7793718273783876
104,ENSG00000005955,0.06092127957607609,0.08116207485308813,False,0.46301088277178376
