,Gene,EffectSize,P-Value,FDR,pBH
313,ENSG00000013588,0.6174044803740169,1.1021664255824158e-05,True,0.002346603324632213
6728,ENSG00000137825,-0.737881120805764,0.00010218990840027066,True,0.014218464721862053
7622,ENSG00000144227,-0.9235340105159169,3.881690071847743e-06,True,0.0009899162801908854
7700,ENSG00000144771,-0.6165512934184901,6.322545836523502e-06,True,0.0014972175635530707
7791,ENSG00000145681,-0.6800453832894918,0.00043532078049956277,True,0.039005750397889394
9906,ENSG00000163915,0.6056799525395931,2.2781751988813215e-120,True,1.3217402960109708e-116
10135,ENSG00000164794,-0.8084807924924398,0.0005819963121875923,True,0.04579132910002183
10379,ENSG00000165973,-0.6499537342275853,3.751455502597759e-05,True,0.006448890951761941
10387,ENSG00000166006,-0.6890790619578835,3.304718453237052e-05,True,0.005899430857251713
11732,ENSG00000173267,-0.7216666760952957,2.26895227583224e-07,True,7.6312428210491e-05
12334,ENSG00000177519,-0.7168522782596771,0.00036039925796113934,True,0.03427780975206623
13002,ENSG00000182572,0.9585239752921519,6.004274459529703e-11,True,3.3176475567215674e-08
16192,ENSG00000223443,0.600737668385696,3.5881485820184094e-16,True,3.6204419192565754e-13
16545,ENSG00000225192,0.6505520745194449,7.99610254652846e-06,True,0.0018372826910622374
17056,ENSG00000227582,0.9375259078262237,5.5439670232028125e-08,True,2.0422038524994865e-05
17354,ENSG00000229107,0.770115751878011,2.07397142061914e-24,True,4.8130654758308386e-21
17577,ENSG00000230255,0.9597912966050236,0.00012199725543274274,True,0.016271208659929086
17980,ENSG00000232237,0.7179400647359151,1.5067954415261616e-25,True,3.8853557568330707e-22
17985,ENSG00000232274,0.7731268717140766,6.959569619208593e-05,True,0.010487709880063234
18543,ENSG00000235023,0.6932547205134442,0.0004176407140220261,True,0.03771279397007455
18822,ENSG00000236254,0.6633386826325809,0.00012596922752080217,True,0.016704959217572892
19189,ENSG00000238021,0.7722054436966105,0.000270657350823236,True,0.029214628560720178
19227,ENSG00000238224,0.6295919382378942,6.320634912384239e-05,True,0.009650195684980331
19843,ENSG00000243986,0.643879499790477,0.0005534844796673514,True,0.044826869819417026
20545,ENSG00000250769,0.6816232993052693,0.00027321648153325517,True,0.029219054778535727
21431,ENSG00000257271,0.6022486820891163,6.2901862819017115e-06,True,0.0014972175635530707
22304,ENSG00000260988,0.772970706613142,1.3098554515861288e-46,True,6.079563092991858e-43
