,Gene,EffectSize,P-Value,FDR,pBH,FDR2,pBH2,FDR-2stage,P-2stage,-log10(pBH),Significant
0,ENSG00000000003,-0.8919927502495897,0.37239681826494886,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
1,ENSG00000000419,0.9529346800871709,0.34062316735712117,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
2,ENSG00000000457,0.4877156788537102,0.62575124458081,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
3,ENSG00000000460,0.5423047108311322,0.5876086109078038,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
4,ENSG00000000938,-1.103278167446939,0.26990638475637374,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
5,ENSG00000000971,-0.1341584874061877,0.8932772513406061,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
6,ENSG00000001036,0.3364433383439704,0.7365365729661097,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
7,ENSG00000001084,-0.355238157288016,0.7224111810680777,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
8,ENSG00000001167,0.9079420281080056,0.36390885108271664,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
9,ENSG00000001460,0.4693770312723856,0.6388001631140586,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
10,ENSG00000001461,1.3854066954033495,0.1659281448635378,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
11,ENSG00000001497,-0.8297656649730983,0.40667128697844135,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
12,ENSG00000001561,-0.04021205795865394,0.9679240645455072,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
13,ENSG00000001617,-2.2872352934290134,0.0221820930225357,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
14,ENSG00000001626,0.12194863806193357,0.9029396954479785,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
15,ENSG00000001629,1.0587300293178965,0.28972274775645734,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
16,ENSG00000001630,-0.7359353525664756,0.461770041370237,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
17,ENSG00000001631,0.7623079064001421,0.44587625617685034,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
18,ENSG00000002016,-0.0058757465463624625,0.995311859523353,False,1.0,False,0.9996874579044919,False,1.0,-0.0,False
19,ENSG00000002079,0.09503241335782214,0.924289081283432,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
20,ENSG00000002330,1.3166125644462525,0.1879685250641211,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
21,ENSG00000002549,0.5628243119358847,0.5735545235126673,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
22,ENSG00000002586,-0.29738952724892215,0.7661691382604772,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
23,ENSG00000002587,1.0937237323186,0.27407616244852717,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
24,ENSG00000002745,0.46202203237739276,0.644065520690527,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
25,ENSG00000002746,-0.486634083699532,0.6265176652172464,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
26,ENSG00000002822,-1.7884150932926604,0.07370906299791305,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
27,ENSG00000002834,-0.5813616948680219,0.5609967082050648,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
