,Gene,EffectSize,P-Value,FDR,pBH,FDR2,pBH2,FDR-2stage,P-2stage,-log10(pBH),Significant
0,ENSG00000000003,-1.9837796469972222,0.04728041002666695,False,1.0,False,0.9951362324502372,False,1.0,-0.0,False
1,ENSG00000000419,0.6325870308046996,0.5270033585201317,False,1.0,False,0.9951362324502372,False,1.0,-0.0,False
2,ENSG00000000457,0.25257677898665915,0.8005952759928767,False,1.0,False,0.9951362324502372,False,1.0,-0.0,False
3,ENSG00000000938,-2.1552036212300645,0.031145903674208896,False,1.0,False,0.9951362324502372,False,1.0,-0.0,False
4,ENSG00000000971,-1.176679644258646,0.23932339551311244,False,1.0,False,0.9951362324502372,False,1.0,-0.0,False
5,ENSG00000001036,-0.45021708569130253,0.6525539177326812,False,1.0,False,0.9951362324502372,False,1.0,-0.0,False
6,ENSG00000001084,-0.501411770041061,0.6160813579875881,False,1.0,False,0.9951362324502372,False,1.0,-0.0,False
7,ENSG00000001167,0.48576125741222953,0.6271364460158171,False,1.0,False,0.9951362324502372,False,1.0,-0.0,False
8,ENSG00000001460,2.071661257945555,0.03829704275584501,False,1.0,False,0.9951362324502372,False,1.0,-0.0,False
9,ENSG00000001461,1.8176791401056087,0.06911318781598483,False,1.0,False,0.9951362324502372,False,1.0,-0.0,False
10,ENSG00000001497,-0.042117028163046646,0.9664054057038947,False,1.0,False,0.9991873170444067,False,1.0,-0.0,False
11,ENSG00000001561,-0.5379507283432113,0.5906110652009269,False,1.0,False,0.9951362324502372,False,1.0,-0.0,False
12,ENSG00000001617,-0.5326726964750108,0.594260169647961,False,1.0,False,0.9951362324502372,False,1.0,-0.0,False
13,ENSG00000001626,0.7902945022343159,0.42935579680470504,False,1.0,False,0.9951362324502372,False,1.0,-0.0,False
14,ENSG00000001629,0.16241967316245323,0.8709753795852986,False,1.0,False,0.9951362324502372,False,1.0,-0.0,False
15,ENSG00000001630,0.6567702358679559,0.5113286651670974,False,1.0,False,0.9951362324502372,False,1.0,-0.0,False
16,ENSG00000001631,0.8144284174663406,0.41539956450254323,False,1.0,False,0.9951362324502372,False,1.0,-0.0,False
17,ENSG00000002016,-0.2268086718435199,0.8205725202645587,False,1.0,False,0.9951362324502372,False,1.0,-0.0,False
18,ENSG00000002079,0.20214743107750685,0.8398014685487724,False,1.0,False,0.9951362324502372,False,1.0,-0.0,False
19,ENSG00000002330,0.8362973848523354,0.4029876239975956,False,1.0,False,0.9951362324502372,False,1.0,-0.0,False
20,ENSG00000002549,-0.21715498456021923,0.8280875646833511,False,1.0,False,0.9951362324502372,False,1.0,-0.0,False
21,ENSG00000002586,-0.6849534752926534,0.4933732798684831,False,1.0,False,0.9951362324502372,False,1.0,-0.0,False
