,Gene,EffectSize,P-Value,FDR,pBH,FDR2,pBH2,FDR-2stage,P-2stage,-log10(pBH),Significant
0,ENSG00000000003,-0.17504246849083807,0.8610462636665018,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
1,ENSG00000000419,1.1752912217557046,0.23987822525786395,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
2,ENSG00000000457,-0.1225176931010662,0.9024890344814085,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
3,ENSG00000000938,-0.7406598472333845,0.4588997109341145,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
4,ENSG00000000971,-0.9797867453502764,0.3271913961980757,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
5,ENSG00000001036,-0.20661471249537164,0.8363107692824202,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
6,ENSG00000001084,-0.43604522041492927,0.6628039206834027,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
7,ENSG00000001167,1.9516029180835754,0.05098536653287532,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
8,ENSG00000001460,0.1642528844773732,0.8695320705956191,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
9,ENSG00000001461,0.6045646749861994,0.5454682841152765,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
10,ENSG00000001497,-1.4163800299854103,0.15666426761004826,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
11,ENSG00000001561,-0.5582110671640257,0.576700264478245,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
12,ENSG00000001617,0.023091730664012336,0.9815771019031098,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
13,ENSG00000001626,0.4402219304870845,0.6597763776285261,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
14,ENSG00000001629,0.4090048825693809,0.6825360780110105,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
15,ENSG00000001630,-0.7948605399785184,0.4266946302652985,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
16,ENSG00000001631,0.9464757127190272,0.34390600423949924,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
17,ENSG00000002016,-0.9047302431407356,0.36560831493856294,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
18,ENSG00000002079,0.795851853555274,0.42611814844690543,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
19,ENSG00000002330,1.005467823742289,0.31467163550407284,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
20,ENSG00000002549,0.9915490913815791,0.3214175336498363,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
21,ENSG00000002586,0.541031945805854,0.5884855638285643,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
22,ENSG00000002587,1.4356327734035639,0.15110686387184924,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
23,ENSG00000002745,0.12170110553850372,0.9031357376546715,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
24,ENSG00000002746,-0.24089218784559022,0.8096386770755404,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
25,ENSG00000002822,-1.8233213245954767,0.06825473839811978,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
26,ENSG00000002834,-0.7215585589018756,0.4705659255187894,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
27,ENSG00000002919,-0.2628330262098209,0.7926792789656709,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
28,ENSG00000002933,0.2727360553545093,0.7850561168567781,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
29,ENSG00000003056,0.20099763083173722,0.8407004265883496,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
30,ENSG00000003096,-0.3488770859253657,0.7271815884310748,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
31,ENSG00000003137,0.36910269370332516,0.7120511812123593,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
32,ENSG00000003147,0.9462309511173234,0.3440308028117073,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
33,ENSG00000003249,-1.0173179675241721,0.30900219187383915,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
34,ENSG00000003393,0.4601430121539568,0.6454135725303511,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
35,ENSG00000003400,-0.6183128089208639,0.5363691600741416,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
36,ENSG00000003402,0.4742646439382975,0.6353112006664363,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
37,ENSG00000003436,0.8355235289244306,0.40342300486726956,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
38,ENSG00000003509,0.22364138664663819,0.8230363573113273,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
39,ENSG00000003756,-1.418634767015276,0.15600552434404,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
40,ENSG00000003987,-0.23549366295621996,0.8138255968016433,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
41,ENSG00000003989,-0.3071119996618076,0.7587581243782555,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
42,ENSG00000004059,-0.16644907614712703,0.8678035553859562,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
43,ENSG00000004139,-1.0338847049296778,0.3011900661681548,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
44,ENSG00000004142,0.10603737312406786,0.9155526998631627,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
46,ENSG00000004455,-0.4083456887642131,0.6830199006875337,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
47,ENSG00000004468,-0.8235876026465457,0.4101739225245933,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
48,ENSG00000004478,1.8750225034314008,0.060789627741356475,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
49,ENSG00000004487,0.5469240687510025,0.5844308992851298,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
50,ENSG00000004534,-0.42850950995651815,0.6682802113086599,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
51,ENSG00000004660,0.11407070502457489,0.9091817446156639,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
52,ENSG00000004700,1.2234523789234275,0.22115888017637064,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
53,ENSG00000004766,-0.16546730751898087,0.8685761799280294,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
54,ENSG00000004776,0.1442806420871101,0.885278863737541,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
55,ENSG00000004777,-1.4382817715125022,0.15035412180180638,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
56,ENSG00000004779,-0.04771268325352098,0.9619452258415073,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
57,ENSG00000004799,-1.1557127581053324,0.2477986679180305,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
58,ENSG00000004838,0.18452073011831593,0.8536049660815382,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
59,ENSG00000004864,0.30955894904771725,0.7568963776666295,False,1.0,False,0.9990654984781545,False,1.0,-0.0,False
