,Gene,EffectSize,P-Value,FDR,pBH,FDR2,pBH2,FDR-2stage,P-2stage
4250,ENSG00000117000,9.055340262769127,1.3614265240120474e-19,True,3.622581804608386e-14,True,3.386003907870363e-15,True,3.552588057348477e-15
6310,ENSG00000135424,7.752006325985551,9.045188354604102e-15,True,1.2034044502116122e-09,True,1.1248143978367929e-10,True,1.180152860190261e-10
13012,ENSG00000182611,4.889202218661187,1.012454501789028e-06,True,0.02449101726945991,True,0.0022891596285449923,True,0.00240178138567127
14233,ENSG00000196374,5.144206600002447,2.686537560182084e-07,True,0.008935665927670092,True,0.0008352109457411076,True,0.0008763015377240926
15605,ENSG00000206159,-5.013310770707707,5.350138114737097e-07,True,0.015817814496414135,True,0.0014784809450180706,True,0.0015512190449868742
16769,ENSG00000223896,-5.208782347990722,1.900839288441889e-07,True,0.008429816933860723,True,0.0007879295657139704,True,0.0008266940149362621
17021,ENSG00000225125,6.38350159185236,1.7308379562458041e-10,True,1.1513845911683831e-05,True,1.0761917702447349e-06,True,1.1291381033262942e-06
18670,ENSG00000233029,7.446048544397791,9.61774283419893e-14,True,8.530527741322657e-09,True,7.973429400978719e-10,True,8.365705072042913e-10
19513,ENSG00000237015,-5.655801083538513,1.5512103983678178e-08,True,0.0008255144828068381,True,7.7160307635612e-05,True,8.095642972249774e-05
23616,ENSG00000264653,-4.938548060708368,7.870638202596333e-07,True,0.020942761317267255,True,0.001957506427367734,True,0.002053811556414703
24897,ENSG00000272108,-5.1556709096027715,2.527244099556367e-07,True,0.008935665927670092,True,0.0008352109457411076,True,0.0008763015377240926
24979,ENSG00000272381,-4.766506332781561,1.8744784099140334e-06,True,0.04156456029221197,True,0.0038850127110809938,True,0.004076147026278561
