,Gene,EffectSize,StdEffect,P-Value,FDR,pBH
0,ENSG00000000003,0.13194098777588295,0.36846045526825727,0.05097448738791395,False,1.0
1,ENSG00000000419,0.009582405211535468,0.022470999236804016,0.9162005404830157,False,1.0
2,ENSG00000000457,-0.05745913724507334,-0.23458736012700798,0.2767667521138545,False,1.0
3,ENSG00000000460,-0.06393839097206401,-0.30999244033248147,0.14537939539198302,False,1.0
4,ENSG00000000938,0.13064688821485868,0.2726403778915692,0.23086969305014904,False,1.0
5,ENSG00000000971,0.0785630167064626,0.1195828720175413,0.610075859393978,False,1.0
6,ENSG00000001036,-0.014308303280429778,-0.050046200577577804,0.825623314040276,False,1.0
7,ENSG00000001084,-0.04210780494609674,-0.17448458708772174,0.4296685382935421,False,1.0
8,ENSG00000001167,0.01899029012195518,0.09956584342185823,0.6459688993601671,False,1.0
9,ENSG00000001460,-0.029754258681923794,-0.12970479901289197,0.5639293988294152,False,1.0
10,ENSG00000001461,-0.14365627491004787,-0.4222273554131646,0.07173290895571223,False,1.0
11,ENSG00000001497,-0.0493323323739035,-0.13936642993613615,0.4962230605177179,False,1.0
12,ENSG00000001561,-0.16952450429145863,-0.32178764598374926,0.1292102929643858,False,1.0
13,ENSG00000001617,0.21075328050573042,0.5458727523141174,0.0015609042153622308,False,1.0
14,ENSG00000001626,-0.05955393813276444,-0.279906604479279,0.1789640610988812,False,1.0
15,ENSG00000001629,-0.021389584169434938,-0.08287735619174136,0.6977615432259956,False,1.0
16,ENSG00000001630,-0.16885685176779133,-0.39482689548428906,0.09618830386041063,False,1.0
17,ENSG00000001631,0.0525769815346952,0.2023486268725282,0.32811916630651283,False,1.0
18,ENSG00000002016,0.017669154073941564,0.049019451478279685,0.8094462765037519,False,1.0
19,ENSG00000002079,0.057076135132301496,0.2718865917019338,0.22752866481996392,False,1.0
20,ENSG00000002330,0.0008029185972847837,0.002267767212837324,0.9911295287476305,False,1.0
21,ENSG00000002549,0.11977510820309532,0.26881349555314027,0.24067550021827322,False,1.0
22,ENSG00000002586,0.2050036111574349,0.3359575576367187,0.09345987545605085,False,1.0
23,ENSG00000002587,-0.0033996434851363434,-0.010169283149534277,0.9593366420225932,False,1.0
24,ENSG00000002745,0.004904339479765835,0.013537560536229476,0.9520175055798085,False,1.0
25,ENSG00000002746,-0.10070600763908993,-0.28188538344435626,0.11996483456064709,False,1.0
26,ENSG00000002822,0.003456727811299001,0.014109951842834827,0.9452397125689983,False,1.0
27,ENSG00000002834,0.05496758168007685,0.12735119916058643,0.44221398628359965,False,1.0
28,ENSG00000002919,-0.00441250161001243,-0.01763568395556778,0.9361097816157714,False,1.0
29,ENSG00000002933,0.2433118056717794,0.5140409989248063,1.2004531897617226e-05,False,0.2653919792312706
30,ENSG00000003056,-0.012724417209481628,-0.03727954715469634,0.8687865680569566,False,1.0
31,ENSG00000003096,0.05466628182868623,0.14459720144655436,0.4623018560680848,False,1.0
32,ENSG00000003137,-0.20202836455629777,-0.3168160504119427,0.11731965342649056,False,1.0
33,ENSG00000003147,-0.06623141009741416,-0.22455461674229052,0.2614041241921339,False,1.0
34,ENSG00000003249,-0.06040739739155508,-0.10679741282454092,0.7293727053770422,False,1.0
35,ENSG00000003393,-0.03319774328462139,-0.13303929226555647,0.5522151717164825,False,1.0
36,ENSG00000003400,-0.024788759187367622,-0.08033341892800466,0.7160030998177461,False,1.0
37,ENSG00000003402,0.1037449217588054,0.2862834402890316,0.1682055523103293,False,1.0
38,ENSG00000003436,0.05491287032348246,0.20839299293087332,0.3641013572100743,False,1.0
39,ENSG00000003509,-0.00024131071364797603,-0.0010003093477584392,0.9964986737607826,False,1.0
40,ENSG00000003756,-0.06006792424036266,-0.34297833806649386,0.11927981920970601,False,1.0
41,ENSG00000003987,-0.17377857511212427,-0.41747928047494925,0.05036192260044981,False,1.0
42,ENSG00000003989,0.16221239125520356,0.22793135695576994,0.2921032815299408,False,1.0
43,ENSG00000004059,-0.15801315962510354,-0.33899840174227297,0.10981275203030938,False,1.0
44,ENSG00000004139,-0.02286605172844593,-0.06732648930835897,0.7494206840935709,False,1.0
45,ENSG00000004142,-0.024145082600462768,-0.10484689452411096,0.6315084470671886,False,1.0
46,ENSG00000004399,0.09582121138789258,0.19660745676433317,0.3311177875006289,False,1.0
47,ENSG00000004455,0.023404699844391225,0.10492765000770653,0.6387269476803474,False,1.0
48,ENSG00000004468,-0.13817942857545515,-0.2607066085302724,0.22841364001189424,False,1.0
49,ENSG00000004478,0.1514072635437941,0.3280438598479766,0.17796494498653292,False,1.0
50,ENSG00000004487,0.04263788348544156,0.2066345817447387,0.3371397409399304,False,1.0
51,ENSG00000004534,0.04594836600736495,0.15505598496905748,0.49387908302023587,False,1.0
52,ENSG00000004660,-0.052132117527119964,-0.11672119534171292,0.5794603852720843,False,1.0
53,ENSG00000004700,0.0035819938859319596,0.009499115467231195,0.9648109702437178,False,1.0
54,ENSG00000004766,-0.05089320385319835,-0.11429388600728096,0.5905612725550355,False,1.0
55,ENSG00000004776,0.23935505751823338,0.38604796853095436,0.04672738380918441,False,1.0
56,ENSG00000004777,0.12259168621383924,0.193587547154715,0.3556267656910864,False,1.0
57,ENSG00000004779,-0.08301371843956484,-0.1853369831182201,0.4101944167415362,False,1.0
58,ENSG00000004799,0.1335577661451866,0.16929474646616888,0.41704624101684473,False,1.0
59,ENSG00000004838,0.058535219332574294,0.27579841483734097,0.2194254270509608,False,1.0
60,ENSG00000004848,0.017250779318774202,0.04730803953009746,0.8370772991115424,False,1.0
61,ENSG00000004864,-0.16382430512287685,-0.3968329586125147,0.062008062422640266,False,1.0
62,ENSG00000004866,-0.002600847247778129,-0.013899287225120635,0.9576869432758077,False,1.0
