,Gene,EffectSize,StdEffect,P-Value,FDR,pBH
0,ENSG00000000003,0.24386433403421678,0.5929328202901445,0.007102757396823971,False,1.0
1,ENSG00000000419,0.0674084539136561,0.14538986409263913,0.6513011299201656,False,1.0
2,ENSG00000000457,-0.01595088279535311,-0.060996359672256625,0.8063120072748705,False,1.0
3,ENSG00000000460,0.0015015444381619397,0.00768614679407793,0.9758530724644178,False,1.0
4,ENSG00000000938,0.32459413338523235,0.5318396661811228,0.03413936351278384,False,1.0
5,ENSG00000000971,0.3004120648966733,0.4043176055209623,0.11915436307258939,False,1.0
6,ENSG00000001036,0.13326321294667123,0.396168683079275,0.07253565486981187,False,1.0
7,ENSG00000001084,0.05042795646241288,0.17470525748575308,0.47047062593097855,False,1.0
8,ENSG00000001167,0.16597147269910079,0.6558081778950948,0.0022968937552934475,False,1.0
9,ENSG00000001460,-0.13869732319674663,-0.61638373177945,0.00634985905920128,False,1.0
10,ENSG00000001461,-0.16855504327730092,-0.4892961417489511,0.048672575173434846,False,1.0
11,ENSG00000001497,0.010092156381163652,0.039207669931648224,0.8701835886020852,False,1.0
12,ENSG00000001561,-0.04942885099466296,-0.09354531542067791,0.7094227740518811,False,1.0
13,ENSG00000001617,0.1274098837473422,0.26955549322841516,0.11732443305128265,False,1.0
14,ENSG00000001626,-0.0373310680555054,-0.13648241693063937,0.5908325520229631,False,1.0
15,ENSG00000001629,0.04254084554264083,0.1525967671484587,0.4848527772329293,False,1.0
16,ENSG00000001630,-0.23588762099790328,-0.43543640343315343,0.08072787064005414,False,1.0
17,ENSG00000001631,0.0240983121381619,0.09550644721170706,0.68712621043866,False,1.0
18,ENSG00000002016,0.0526127102181694,0.14975262337028322,0.5362100637177416,False,1.0
19,ENSG00000002079,0.022138273438150276,0.08004328680634408,0.7420072232437263,False,1.0
20,ENSG00000002330,-0.042706867879325844,-0.11204026405562487,0.650315921765797,False,1.0
21,ENSG00000002549,0.30702069455434833,0.5393143985063102,0.01985941619600576,False,1.0
22,ENSG00000002586,0.38046546931365066,0.5394361173492053,0.00932343701615288,False,1.0
23,ENSG00000002587,-0.16759328386956837,-0.33437717371793907,0.16023193334450558,False,1.0
24,ENSG00000002745,0.024564071024533243,0.07470142667068218,0.7651037258669243,False,1.0
25,ENSG00000002746,-0.30021167061704673,-0.5691535725065854,0.013484621045917342,False,1.0
26,ENSG00000002822,-0.1524290112209473,-0.4995616840420637,0.026007202389320645,False,1.0
27,ENSG00000002834,-0.08049771661825245,-0.18680222640079702,0.3841745240792622,False,1.0
28,ENSG00000002919,-0.030962745427075635,-0.12663639397772133,0.6237589346406835,False,1.0
29,ENSG00000002933,0.4199553798545642,0.7316571872283584,0.0006331565340335695,False,1.0
30,ENSG00000003056,0.043986171028089265,0.10008937944715003,0.6920081032388514,False,1.0
31,ENSG00000003096,0.004568721644326179,0.011589028508439347,0.9635753715647046,False,1.0
32,ENSG00000003137,-0.5410803455801189,-0.6264333651123841,0.0020827727489566004,False,1.0
33,ENSG00000003147,-0.21102579063927845,-0.5211469705089601,0.014401154092755896,False,1.0
34,ENSG00000003249,-0.27455246511542913,-0.43664238680007306,0.055215823818467305,False,1.0
35,ENSG00000003393,-0.11015203761471866,-0.26697785721680456,0.2607923888376683,False,1.0
36,ENSG00000003400,0.10420771606667434,0.26325252728338344,0.3043015858507526,False,1.0
37,ENSG00000003402,0.21370874168713305,0.465840710982642,0.040342777342564716,False,1.0
38,ENSG00000003436,0.17514365966331025,0.538218329719603,0.027437988660180573,False,1.0
39,ENSG00000003509,0.01617543672397282,0.057886334065200655,0.8127190719725947,False,1.0
40,ENSG00000003756,-0.016476803407572096,-0.087403843438623,0.7299980200147755,False,1.0
41,ENSG00000003987,-0.13629488306613363,-0.28683317542486436,0.2336566396731472,False,1.0
42,ENSG00000003989,0.4052166563070526,0.5935999765245084,0.016262492491218885,False,1.0
43,ENSG00000004059,-0.2687448050975186,-0.45765026070709736,0.06378442386492049,False,1.0
44,ENSG00000004139,-0.13900833759196016,-0.3940667786200459,0.10911164465097364,False,1.0
45,ENSG00000004142,-0.16963178901204953,-0.5409438434722618,0.02505274483671975,False,1.0
46,ENSG00000004399,0.12967378565144255,0.2469584893724382,0.2975649333208463,False,1.0
47,ENSG00000004455,0.0964225301994255,0.366341688601972,0.10541385265864724,False,1.0
48,ENSG00000004468,0.039311578122408625,0.06830087966041817,0.7839624889478138,False,1.0
49,ENSG00000004478,0.04270914539449049,0.08597422698620662,0.7289854453372613,False,1.0
50,ENSG00000004487,-0.010284791785555848,-0.03861879856888553,0.8801610014428484,False,1.0
51,ENSG00000004534,0.054136216955301415,0.2512537628894669,0.2929555324193931,False,1.0
52,ENSG00000004660,-0.31849604699987843,-0.5454814927922063,0.0195836312313772,False,1.0
53,ENSG00000004700,0.1387195236169899,0.2918634015634005,0.21788451930088126,False,1.0
54,ENSG00000004766,-0.13852354098979308,-0.29297032802794515,0.23509055816720426,False,1.0
55,ENSG00000004776,-0.0633022192960799,-0.10460781507114397,0.6621956750078231,False,1.0
56,ENSG00000004777,-0.047357788759495444,-0.0750326967549605,0.7449659180015463,False,1.0
