,Gene,EffectSize,P-Value,FDR,pBH,FDR2,pBH2,FDR-2stage,P-2stage,-log10(pBH),Significant
0,ENSG00000000003,2.000490564389057,0.04544731778520216,False,1.0,False,0.9632680018141666,False,1.0,-0.0,False
1,ENSG00000000419,1.288086748750177,0.19771576756486997,False,1.0,False,0.9945115060487729,False,1.0,-0.0,False
2,ENSG00000000457,0.22871402335816685,0.8190911946063222,False,1.0,False,0.9994034840622099,False,1.0,-0.0,False
3,ENSG00000000460,-0.31502368712715606,0.7527436691154107,False,1.0,False,0.9994034840622099,False,1.0,-0.0,False
4,ENSG00000000938,1.7156190832727227,0.08623178341277489,False,1.0,False,0.9766764579841272,False,1.0,-0.0,False
5,ENSG00000000971,1.225087795189702,0.22054214314491838,False,1.0,False,0.9945115060487729,False,1.0,-0.0,False
6,ENSG00000001036,1.7006578959767535,0.08900724568285114,False,1.0,False,0.9808644022951849,False,1.0,-0.0,False
7,ENSG00000001084,0.6841837830553759,0.49385912128797704,False,1.0,False,0.9994034840622099,False,1.0,-0.0,False
8,ENSG00000001167,2.051705102111783,0.04019833061149751,False,1.0,False,0.9523278741916609,False,0.9998645084477942,-0.0,False
9,ENSG00000001460,-2.0109867441686067,0.044326856894986395,False,1.0,False,0.9631296445276334,False,1.0,-0.0,False
10,ENSG00000001461,-1.4901695539471727,0.1361796595822564,False,1.0,False,0.9873469324327334,False,1.0,-0.0,False
11,ENSG00000001497,-0.13950751364112354,0.8890491189739624,False,1.0,False,0.9994034840622099,False,1.0,-0.0,False
12,ENSG00000001561,-0.1919883289547272,0.8477513475127797,False,1.0,False,0.9994034840622099,False,1.0,-0.0,False
13,ENSG00000001617,0.4071818665318348,0.6838744189260649,False,1.0,False,0.9994034840622099,False,1.0,-0.0,False
14,ENSG00000001626,-0.8261989374649129,0.40869125089090586,False,1.0,False,0.9990527211275976,False,1.0,-0.0,False
15,ENSG00000001629,0.3463123953112905,0.7291079542020806,False,1.0,False,0.9994034840622099,False,1.0,-0.0,False
16,ENSG00000001630,-1.2061572868009252,0.22775684970520516,False,1.0,False,0.9945115060487729,False,1.0,-0.0,False
17,ENSG00000001631,0.49613924609476334,0.6197961713893321,False,1.0,False,0.9994034840622099,False,1.0,-0.0,False
18,ENSG00000002016,-0.3471847148973889,0.7284525532468032,False,1.0,False,0.9994034840622099,False,1.0,-0.0,False
19,ENSG00000002079,-0.48212684767871666,0.6297158388006207,False,1.0,False,0.9994034840622099,False,1.0,-0.0,False
20,ENSG00000002330,0.13299851126821954,0.8941945578765796,False,1.0,False,0.9994034840622099,False,1.0,-0.0,False
21,ENSG00000002549,1.9415857063887219,0.052187274640754,False,1.0,False,0.9648532736343745,False,1.0,-0.0,False
22,ENSG00000002586,1.6535690416552509,0.09821510722930153,False,1.0,False,0.9827671506412683,False,1.0,-0.0,False
23,ENSG00000002587,-0.32346774011150586,0.7463410350964618,False,1.0,False,0.9994034840622099,False,1.0,-0.0,False
24,ENSG00000002745,0.3295256650390145,0.7417583982959495,False,1.0,False,0.9994034840622099,False,1.0,-0.0,False
