,Gene,EffectSize,P-Value,FDR,pBH
0,ENSG00000000003,0.15945738886822747,0.10801513376791155,False,0.3122411797449449
1,ENSG00000000419,-0.10157305173615482,0.48443508808968017,False,0.6844102626703744
2,ENSG00000000457,-0.09338208021324854,0.21216677656462957,False,0.43879249952333915
3,ENSG00000000460,-0.03095739320601401,0.6997348986262618,False,0.8341894758523468
5,ENSG00000000971,0.15158621255926472,0.4946044863601786,False,0.6918790470998408
6,ENSG00000001036,0.04502961851318442,0.6711765275086227,False,0.8163511619036022
7,ENSG00000001084,0.027513794306092056,0.7427390911023264,False,0.8611249081462872
8,ENSG00000001167,0.1626325251251012,8.949733122383951e-08,True,2.8237004649996192e-05
9,ENSG00000001460,-0.13470729759376054,0.12448901837295742,False,0.33442736419206726
10,ENSG00000001461,-0.21443487417364474,0.05783250388398368,False,0.2322624812299229
11,ENSG00000001497,0.13471805425168304,0.28037607928775854,False,0.5090323763592289
12,ENSG00000001561,-0.16413713771136557,0.36572439880108265,False,0.5881566160683716
13,ENSG00000001617,0.23692850320639466,0.09129861351319153,False,0.2879723924608658
14,ENSG00000001626,-0.026755283111510843,0.718762830493946,False,0.8461873294598155
15,ENSG00000001629,0.06189746952691755,0.4853905878000907,False,0.6851333016827063
17,ENSG00000001631,0.1206007437575211,0.17392225019052554,False,0.3966003860709652
18,ENSG00000002016,0.3052469861082512,0.005675964258244477,False,0.07905258519296002
19,ENSG00000002079,0.15651899548325884,5.622866261732825e-19,True,6.335899254827801e-16
20,ENSG00000002330,-0.2819149023277619,0.015123776955001339,False,0.12669327185592866
21,ENSG00000002549,0.10451918300681774,0.4849414763124027,False,0.684880343418704
22,ENSG00000002586,0.5053958582593051,0.015369440600910961,False,0.12760949927696705
23,ENSG00000002587,-0.3467679350184431,0.0024163021358777955,False,0.051931841454383544
24,ENSG00000002745,-0.09411984796202709,0.4685113005774486,False,0.6739249118490465
25,ENSG00000002746,-0.2559838689866524,0.030647355213407907,False,0.17201336964299604
26,ENSG00000002822,-0.12020622778215158,0.1112662345482744,False,0.31648808984833693
27,ENSG00000002834,-0.2849402984876659,0.01622335732351443,False,0.1306648415065766
