,Gene,EffectSize,P-Value,FDR,pBH
198,ENSG00000008394,0.6770748827685915,4.877725169011109e-05,True,0.004996606522697397
666,ENSG00000053438,-0.6921166507130393,5.530397742605836e-06,True,0.0009622485425241316
690,ENSG00000054803,-0.6942410679404745,1.6394522650689545e-05,True,0.0022554859853678296
738,ENSG00000058335,-0.6154979855745202,0.0006276965726100903,True,0.02681080143984218
911,ENSG00000066248,-0.6143763832894577,0.0009337479149854039,True,0.03274830449602235
1081,ENSG00000070961,-0.6468745966348886,0.0018044263773222401,True,0.04513545599003823
1098,ENSG00000071575,-0.6591303169145062,0.0007898988763444851,True,0.030385999089366227
1106,ENSG00000071967,0.627262654457133,0.0008180938935038774,True,0.030776718286140304
1451,ENSG00000081320,0.6059470265799661,0.001302465460382922,True,0.038767597722064256
1485,ENSG00000082497,-0.778212308102665,8.654973738270255e-07,True,0.00020431952968446066
1725,ENSG00000089169,-0.6400759379958314,0.001206801539599694,True,0.03719500458821009
1769,ENSG00000090339,0.6487340872938493,0.0,True,0.0
1926,ENSG00000095713,-0.7284722913758683,5.502437505645723e-05,True,0.0054251741123372815
2004,ENSG00000099860,0.9639577238788959,4.25134020114294e-05,True,0.004471087252428683
2149,ENSG00000100362,-1.070168096100462,5.071569527100591e-10,True,2.307856725380409e-07
2287,ENSG00000101079,-0.7238726869573667,0.0010263614153063181,True,0.03431717040627122
2444,ENSG00000102003,-0.7847015441353637,0.00042872210696742155,True,0.021507849573053107
2480,ENSG00000102265,0.8786865379647008,0.0019052069739296878,True,0.04614422991207595
2503,ENSG00000102468,-0.686488326689398,3.785519817305303e-06,True,0.0007053287829676802
2618,ENSG00000103316,-0.716081377231032,0.00040704808009472027,True,0.020848438786323302
2734,ENSG00000104435,-0.7126436369466604,0.00028540122004929943,True,0.016586358374762352
2739,ENSG00000104490,-0.6520558836537151,0.0007916932123395534,True,0.030385999089366227
3548,ENSG00000111058,0.7189190035413404,3.7108434521810658e-06,True,0.000696902290547306
3679,ENSG00000111962,-0.6819027910504808,0.0018621967257984138,True,0.04575080730974353
3706,ENSG00000112186,-0.63919604305679,0.0015620068134493844,True,0.04232254463023001
3979,ENSG00000114698,0.6994789775603091,0.000212204826013399,True,0.013571358913392057
4078,ENSG00000115380,0.8666948264711242,0.0008857619473350225,True,0.031950891706994874
4314,ENSG00000117152,-0.819736075677362,0.0008709001170690311,True,0.03161673911019625
4343,ENSG00000117410,-0.6664058516731863,0.001680944522021277,True,0.0437071852229741
4344,ENSG00000117411,-0.6315066416280318,0.0020723857948744475,True,0.04841660208354874
4712,ENSG00000120875,-0.8129821655007343,0.0006384886570163408,True,0.026931474315468225
4786,ENSG00000121764,-0.9074487296524005,0.0007901043864089397,True,0.030385999089366227
4788,ENSG00000121769,-0.6154075080802672,0.0003373506445628666,True,0.01856412245794232
5464,ENSG00000128285,-0.6603168498246728,0.00023803851615188744,True,0.014650251287006213
5619,ENSG00000129990,-0.6433898428366538,0.0006468656296425218,True,0.027160649232809652
5699,ENSG00000130558,-0.6827316397570019,2.6727360425312635e-10,True,1.317603186967027e-07
5970,ENSG00000132470,0.7536534447733159,6.8189494208839434e-06,True,0.0011422113031660211
6068,ENSG00000133048,1.0150848400579986,0.002218374301594946,True,0.04997852492075903
6076,ENSG00000133083,-0.6356928367931065,0.0004921068869207786,True,0.022897820144800896
6325,ENSG00000134917,-0.6255872512647181,0.0005387051522672779,True,0.024354832155872697
6332,ENSG00000134986,-0.6538487032945547,6.609331396153718e-05,True,0.006087889258083131
6469,ENSG00000135750,-0.639836574090424,0.00015184734370750195,True,0.011033210379493865
6479,ENSG00000135824,-0.6426867740827825,2.3826280887647484e-05,True,0.002983075580129113
6694,ENSG00000137033,0.7880392233778155,2.2642841390162974e-05,True,0.0028652275712054893
6704,ENSG00000137094,-0.7213952336292871,0.0015666655328591959,True,0.04232254463023001
6804,ENSG00000137727,-0.7374082422916804,4.2760190532276755e-15,True,3.489084098500913e-12
