,Gene,EffectSize,P-Value,FDR,pBH
0,ENSG00000000003,0.24811142625381385,0.061895970368291066,False,0.5630396044890695
1,ENSG00000000419,-0.08726398693949354,0.29620171451060884,False,0.7197774312789371
2,ENSG00000000457,-0.049063372363583935,0.5977909853690091,False,0.8657403283491314
3,ENSG00000000460,-0.042861288199898914,0.5862941996001748,False,0.8617722045563918
4,ENSG00000000938,0.3128924881734784,0.19106416415672156,False,0.6516237453173895
6,ENSG00000001036,0.17013036567961698,0.14881749016196594,False,0.6200800425198322
7,ENSG00000001084,0.05296450482509747,0.3684783857007434,False,0.7547741971165153
8,ENSG00000001167,0.08726997234216163,0.18580548937878283,False,0.6476297479188794
9,ENSG00000001460,-0.10884586826517827,0.169734938234548,False,0.6341186636222206
10,ENSG00000001461,-0.14073682928723336,0.28724045166203105,False,0.7147529246908828
11,ENSG00000001497,0.21584680054358193,0.02342499866430309,False,0.5211214474500506
12,ENSG00000001561,-0.2378037685961233,0.12129126725009547,False,0.6005476165728555
13,ENSG00000001617,0.30317362790529473,0.16365176395782832,False,0.6314655825384198
14,ENSG00000001626,-0.00545201945398165,0.9595585922005435,False,0.9882178268905917
15,ENSG00000001629,0.04672929266031478,0.5798941498802503,False,0.8584483498990224
16,ENSG00000001630,-0.1236057232271209,0.48634717565807273,False,0.8147128424928815
17,ENSG00000001631,0.008559056299496538,0.9148432562708053,False,0.9775177356927022
18,ENSG00000002016,0.10133591334108573,0.4383378880484813,False,0.789836501374735
19,ENSG00000002079,0.0718355214570122,0.503979013970915,False,0.8233887200645313
20,ENSG00000002330,-0.0590647545942702,0.6809668427198898,False,0.8998786226077313
21,ENSG00000002549,0.3227227795108346,0.1382398375630604,False,0.6128004952289361
22,ENSG00000002586,0.5071648322350959,0.058575410433204106,False,0.5612297660755636
23,ENSG00000002587,-0.0032407416524339026,0.9830602362813683,False,0.9950537384005431
24,ENSG00000002745,-0.09954639173437678,0.4918270049106004,False,0.8175872538266834
25,ENSG00000002746,-0.32655138726968813,0.07637982761044729,False,0.5706325518215454
26,ENSG00000002822,-0.05601939048472361,0.513696972612582,False,0.8257600896905827
27,ENSG00000002834,-0.24268529513092685,0.04972685553768939,False,0.5538164126967572
28,ENSG00000002919,-0.08291123147464459,0.3565555957890678,False,0.7488396600822169
29,ENSG00000002933,0.3526546481926746,0.12768217746805846,False,0.6026864008461332
31,ENSG00000003096,-0.09962799687460339,0.4808306756013967,False,0.8114631109908601
32,ENSG00000003137,-0.7837614776903443,0.015512579503228695,False,0.506464858166339
33,ENSG00000003147,-0.21329636288360818,0.08593413852905993,False,0.5764677337862455
34,ENSG00000003249,-0.37527799612346724,0.07312204844969138,False,0.5702521324074966
35,ENSG00000003393,0.00788213222833855,0.9516934915944154,False,0.9860630150318205
36,ENSG00000003400,0.033497371603265054,0.8624124571764407,False,0.9613657392427133
37,ENSG00000003402,0.3815041077555213,0.0025906931852354522,False,0.28460615134943756
38,ENSG00000003436,0.14856197762113832,0.2392294106901297,False,0.6828063134833245
39,ENSG00000003509,-0.09561258150056796,0.35539714359248065,False,0.7486644653622445
40,ENSG00000003756,0.0002406212499672715,0.9972238808334362,False,0.9989903840390454
41,ENSG00000003987,-0.21435266901231625,0.19097343724893745,False,0.6516237453173895
42,ENSG00000003989,0.5249477589246178,0.03700188963152965,False,0.5490894349620674
43,ENSG00000004059,-0.3097861755636111,0.11936566394626631,False,0.5992717184571423
44,ENSG00000004139,-0.0639333688253116,0.6239662182415411,False,0.8761683109198266
45,ENSG00000004142,-0.19116169811169204,0.14449543931709233,False,0.6165431855880014
