,Gene,EffectSize,P-Value,FDR,pBH
0,ENSG00000000003,-0.3622034880813457,0.061029359773630866,False,0.287707456512699
2,ENSG00000000457,-0.07628622683534111,0.2874763624601764,False,0.5527552750330121
3,ENSG00000000460,-0.008621743340096676,0.8955970506445229,False,0.9536205460706177
4,ENSG00000000938,0.006940156164021058,0.9682328666783074,False,0.9854710494369816
5,ENSG00000000971,-0.39054228537915303,0.09529065458541201,False,0.34189779218705574
6,ENSG00000001036,-0.07671375794447952,0.49426923560958247,False,0.7151187040027219
7,ENSG00000001084,-0.12078566226623233,0.22002932296150424,False,0.48649880725365
8,ENSG00000001167,0.09186024114871824,0.20551609208363697,False,0.4736934435057561
9,ENSG00000001460,0.009040956027177197,0.8339836177468587,False,0.9221564942947234
10,ENSG00000001461,-0.0705095856786082,0.526282377365369,False,0.7369883418716705
11,ENSG00000001497,0.1736440469501877,0.05105707567140047,False,0.2684522384086832
12,ENSG00000001561,-0.40080963158192234,0.04292841840474706,False,0.24998652637535881
13,ENSG00000001617,0.08554084802382715,0.4697127074636125,False,0.6985816559460782
14,ENSG00000001626,0.005466984449883549,0.9566985296845698,False,0.97998443785275
15,ENSG00000001629,-0.15836895023298436,0.021779908844716016,False,0.19166655893054488
17,ENSG00000001631,-0.00966945185344661,0.8960955620196943,False,0.9537112621159587
18,ENSG00000002016,0.16091600093246872,0.07361343035792856,False,0.30895192456180004
19,ENSG00000002079,0.1680766317916166,0.05346841664008606,False,0.2725433087987098
20,ENSG00000002330,-0.058580805642417244,0.6556901919354334,False,0.8249472298978067
21,ENSG00000002549,-0.014524068127329438,0.8466717095873386,False,0.9291777808230884
22,ENSG00000002586,0.08797309093762393,0.6581507850264666,False,0.8264020371272544
23,ENSG00000002587,-0.012106933000941006,0.9585858239070707,False,0.9809724687993016
24,ENSG00000002745,-0.43215998634245106,0.004569362104837846,False,0.09786586817967256
25,ENSG00000002746,0.06906330944311061,0.5847302878779812,False,0.7771192604146566
26,ENSG00000002822,-0.028710839903462234,0.7304429794934448,False,0.8672845954008368
27,ENSG00000002834,-0.01735770314951122,0.8696431714116399,False,0.9408038208632542
28,ENSG00000002919,-0.11460944110894301,0.36729520078079125,False,0.6221474152215436
29,ENSG00000002933,0.0453346047784599,0.6301959003594593,False,0.8075712633258014
32,ENSG00000003137,-0.2847189092613032,0.41933308077437503,False,0.6609904685653416
33,ENSG00000003147,-0.13405870365330189,0.21799093720672724,False,0.48444790312601793
34,ENSG00000003249,-0.10703428330048177,0.5027861012140882,False,0.7205674144692983
35,ENSG00000003393,-0.07445751766484375,0.6988263682659728,False,0.8507766478689446
