,Gene,EffectSize,P-Value,FDR,pBH
1340,ENSG00000078596,-0.7000597912430787,0.00011523625620161317,True,0.009507943855500165
1432,ENSG00000081320,-0.8695186631412595,0.00025664617824769777,True,0.016678345657635287
1801,ENSG00000091482,-0.6328457213385578,0.0004188817368552442,True,0.023418363768794415
3018,ENSG00000106341,-1.128087506342699,0.0010507643317678895,True,0.04361331104093645
3314,ENSG00000108960,-0.601826921684528,9.160941380698435e-05,True,0.007975613469226385
3677,ENSG00000112218,-0.7253809903576963,0.0002948122059148727,True,0.018174774099779044
4897,ENSG00000123560,-0.9783189611597561,1.253485107938848e-09,True,3.2490903763733095e-07
4900,ENSG00000123572,-1.1572999263300505,0.0001272144527308726,True,0.010253574794315209
5013,ENSG00000124575,0.7189741786969285,0.0006301048265057093,True,0.030669714525300717
5263,ENSG00000126860,-0.648857146778123,7.263560979008836e-72,True,1.3806818827599296e-68
5352,ENSG00000127951,-0.9601173209396897,0.00016720433500030355,True,0.012587230631541003
5426,ENSG00000128656,-0.674852870205581,0.00043480310330410463,True,0.024017372136583795
6379,ENSG00000135824,-1.216884722848802,5.004554247278756e-05,True,0.004816619509722718
6896,ENSG00000138759,-0.6828231704434164,3.630883119562746e-05,True,0.0038912965045659323
10141,ENSG00000164825,-0.7158967432684543,0.00029787624776288235,True,0.018314170381324386
10262,ENSG00000165434,-0.7229811209205192,8.324638549494048e-05,True,0.007514685442167419
10379,ENSG00000165973,-0.7677330493949603,0.0008814573463344033,True,0.03866381582410754
11389,ENSG00000171243,-0.7167589134083917,6.974950164970767e-05,True,0.0064518276521256974
12046,ENSG00000175445,-0.8032861651902176,8.753197950713367e-09,True,2.0373514822017545e-06
12482,ENSG00000178538,-1.0468039709094932,0.0009297986397166256,True,0.03996366285069842
13010,ENSG00000182611,0.6409042550295593,8.367953286656299e-05,True,0.007514685609001188
13554,ENSG00000185742,-0.8385045260079357,0.0001931845296759338,True,0.013900754327785647
13688,ENSG00000186469,-0.7196273908850767,8.791786820623055e-05,True,0.0077728936968376695
16645,ENSG00000225630,0.8797402358377467,1.208872050906598e-06,True,0.00019418571465619366
17038,ENSG00000227490,0.6779290712910848,6.549839444522583e-05,True,0.006148223774879017
17501,ENSG00000229905,0.6610110500318565,0.0001974036391759819,True,0.014009158455372046
18035,ENSG00000232489,0.780408783051366,0.0007517049153053927,True,0.03474830891419335
18959,ENSG00000236908,0.6364691171075799,1.2129364593294627e-07,True,2.3249647594373987e-05
19219,ENSG00000238168,0.8013818142866039,0.0007281185099490859,True,0.03403357215561199
19227,ENSG00000238224,0.6722470179587943,0.0012679340325136585,True,0.04918635251979005
19286,ENSG00000239470,-0.7122727138615169,0.0001910367054369121,True,0.013844324379435788
20964,ENSG00000254484,0.681393608033752,0.0012278256132481436,True,0.04828741765205199
22081,ENSG00000260244,-0.6083927815705643,0.00016857541302905884,True,0.012605591325466832
22534,ENSG00000261788,-0.6184016238579094,2.3523565787940528e-05,True,0.002780168578357116
22908,ENSG00000266045,-0.6320525177383738,0.00010897227207640721,True,0.00903875464022854
23187,ENSG00000267605,0.9069356069811663,1.8388767869720156e-07,True,3.466510703374519e-05
