,Gene,EffectSize,P-Value,FDR,pBH
0,ENSG00000000003,0.19181234265380337,0.043391172388354916,False,0.2563231567022483
1,ENSG00000000419,-0.07528807889420756,0.6039566965402712,False,0.7938781720604204
2,ENSG00000000457,-0.05492088031470578,0.41694994002654673,False,0.6659124067300697
3,ENSG00000000460,-0.024958729033953544,0.7441206028838974,False,0.8765272739416132
4,ENSG00000000938,0.2118884888597763,0.02942339686429352,False,0.22204086376145987
5,ENSG00000000971,0.14889488978661491,0.5161562674387912,False,0.7366103354226248
6,ENSG00000001036,0.06535943188672409,0.5318085852335979,False,0.7469965057841658
7,ENSG00000001084,0.033932888371924645,0.6789842064249314,False,0.839140931362119
8,ENSG00000001167,0.14907332164537437,0.7506400096948426,False,0.8802976909165606
9,ENSG00000001460,-0.13966301490757263,0.1244074139005741,False,0.38449564770029576
10,ENSG00000001461,-0.18848593829280394,0.09519178631032461,False,0.34382187948107545
11,ENSG00000001497,0.07336798911127958,0.5312648414563614,False,0.7467610822382651
12,ENSG00000001561,-0.1447601682823268,0.4182884210106521,False,0.6668401669899511
13,ENSG00000001617,0.20991366417588628,0.1288426055219507,False,0.390237208489829
14,ENSG00000001626,0.0027240294792941146,0.9701321901628578,False,0.9878795220738555
15,ENSG00000001629,0.07431109384325275,0.40870118190006666,False,0.6589962338148925
16,ENSG00000001630,-0.16854210276133919,0.3798136103190596,False,0.6357395662831555
17,ENSG00000001631,0.08932903077665412,0.298603508819276,False,0.5670111853514159
18,ENSG00000002016,0.25334289283861555,0.03496532413085721,False,0.23699353157054773
19,ENSG00000002079,0.12518606210238514,0.05615696082308033,False,0.28100891296976804
20,ENSG00000002330,-0.21894727908131564,0.03382407696654301,False,0.23472809239546044
21,ENSG00000002549,0.16974223215992984,0.2773923922641377,False,0.5486769722036827
22,ENSG00000002586,0.4807362723119421,0.024996685153716915,False,0.20851576579206996
23,ENSG00000002587,-0.29558489949118844,0.006531643133757976,False,0.12628310607132204
24,ENSG00000002745,-0.08229351217163244,0.532617072933614,False,0.7475591578632272
25,ENSG00000002746,-0.3068146916000247,0.007399687375593154,False,0.13313723283687454
26,ENSG00000002822,-0.12807740892427089,0.09120542807429305,False,0.3378230905537869
27,ENSG00000002834,-0.2124889875666394,0.04124433028916527,False,0.25111293759495873
28,ENSG00000002919,-0.15849363882910655,0.08477630468871021,False,0.3274537916180961
29,ENSG00000002933,0.3450120387401811,0.02815303928580222,False,0.21820698294778168
30,ENSG00000003056,-0.15750011436579264,0.20016449102657363,False,0.47195188130240817
31,ENSG00000003096,0.011220336622078959,0.9132845407254159,False,0.9619812051570567
32,ENSG00000003137,-0.5933813067818688,0.011883694958782864,False,0.15734397583323853
33,ENSG00000003147,-0.12116317787890765,0.223285663800043,False,0.4952111016916984
34,ENSG00000003249,-0.4660510250121349,0.007754608519850953,False,0.13465436835053143
35,ENSG00000003393,-0.09501651645354198,0.27886550382086905,False,0.5497459221366697
36,ENSG00000003400,-0.04793169442486366,0.6592434363415439,False,0.8276237354376846
37,ENSG00000003402,0.3132443320794017,0.006131329995386854,False,0.12314883942497667
38,ENSG00000003436,0.10570136476080534,0.19706756627044686,False,0.4689577224519627
39,ENSG00000003509,-0.009140837477692808,0.9151159282083101,False,0.9627750198418701
40,ENSG00000003756,0.05752375271499037,0.3390584324805558,False,0.6009320112644517
41,ENSG00000003987,-0.20740212776452227,0.15108366427856035,False,0.41516118523286066
42,ENSG00000003989,0.58272685048791,0.01011824503823387,False,0.14726131594410047
43,ENSG00000004059,-0.3412043598741985,0.06208754285035276,False,0.29187711208445233
44,ENSG00000004139,-0.036986512045377666,0.7157505247172327,False,0.8605187979846262
45,ENSG00000004142,-0.15704251669478045,0.05897005369480104,False,0.28704443703207017
46,ENSG00000004399,-0.08279831840019398,0.5638598036531648,False,0.7669493258784207
47,ENSG00000004455,0.14968116051590868,0.1639817056091265,False,0.4306546829441332
48,ENSG00000004468,0.20852711055852088,0.24299281665061256,False,0.5165575857842593
49,ENSG00000004478,-0.028734823907495915,0.8578158010052443,False,0.9358276235529325
50,ENSG00000004487,-0.036251282223232525,0.622190464361071,False,0.8047865586353001
51,ENSG00000004534,0.12236770449363554,0.25011478616356153,False,0.5234660050867556
52,ENSG00000004660,-0.3384440499837847,0.032997390100037806,False,0.23272049193111327
53,ENSG00000004700,-0.03481906720483147,0.7919334231821484,False,0.9012049343793199
54,ENSG00000004766,-0.2072537706181229,0.1638932643254466,False,0.43059033185812084
55,ENSG00000004776,0.28363636236663375,0.15470716413359953,False,0.41987249759750533
57,ENSG00000004779,-0.35614388085944215,0.030037953745855866,False,0.22419304825854328
58,ENSG00000004799,0.5990605490702529,0.03745406788063522,False,0.2422484440947188
59,ENSG00000004838,0.009352739917904144,0.9003109902597388,False,0.9564176877669126
60,ENSG00000004848,-0.0827798510251677,0.547762940571687,False,0.7571895250889806
61,ENSG00000004864,-0.04081891094990584,0.7919090688461037,False,0.9012049343793199
62,ENSG00000004866,0.03947326343558337,0.4950115009227055,False,0.7224426609888837
63,ENSG00000004897,-0.1324581226947825,0.2785057224271529,False,0.5495378773483924
64,ENSG00000004939,0.14240916840750392,0.038957514862523655,False,0.2461214091977628
65,ENSG00000004948,-0.036451886034083586,0.5476791895413502,False,0.7571895250889806
66,ENSG00000004961,-0.3693379515917559,2.0210234804827815e-06,True,0.0006878409057003112
67,ENSG00000004975,-0.02399812754595337,0.7840006423860142,False,0.8982287019192463
68,ENSG00000005007,0.08631433067982164,0.29136574791432734,False,0.5605479766145645
69,ENSG00000005020,-0.24642069673609154,0.10765129848475435,False,0.360951369998107
70,ENSG00000005022,-0.3452009593919122,0.0022940807950689187,False,0.08421291350034193
71,ENSG00000005059,0.03784867053112404,0.7285712698689892,False,0.8681136584452607
72,ENSG00000005075,0.06906505970568673,0.4636625419177559,False,0.701396685418034
73,ENSG00000005100,-0.04441114162891654,0.7341025242793304,False,0.8708055436382577
74,ENSG00000005108,-0.14581729940163934,0.23325712351002814,False,0.5059999149471927
75,ENSG00000005156,-0.011792411856383456,0.8386849498744453,False,0.9261532514048755
76,ENSG00000005175,-0.08866737785696398,0.34234877950736553,False,0.6039778823299375
77,ENSG00000005187,0.027944757157964968,0.5078939337382684,False,0.7309892513369484
78,ENSG00000005189,0.0885746393534086,0.3303741587488539,False,0.5930731867993547
79,ENSG00000005194,-0.2514540520484861,0.015951329379000633,False,0.17422453883140365
80,ENSG00000005206,-0.13372742125802065,0.2774774183002451,False,0.5486769722036827
81,ENSG00000005238,-0.008520755580547634,0.9230297712143795,False,0.9664805223587065
82,ENSG00000005243,0.16272534313182277,0.2125434622698592,False,0.48454439063531224
83,ENSG00000005249,-0.39318271907864527,0.04255484173324705,False,0.2544198055485742
84,ENSG00000005302,-0.17535307105743927,0.008264910963077904,False,0.1368333834498735
85,ENSG00000005339,-0.017550198179000373,0.8837015528754596,False,0.9486889778165533
86,ENSG00000005379,-0.03139661483970159,0.7916013975114584,False,0.9012049343793199
87,ENSG00000005381,0.15500497745908107,0.0851814900584394,False,0.3278696866828413
88,ENSG00000005421,0.13447154877273626,0.024129942987354647,False,0.20593361963742907
89,ENSG00000005436,-0.01791726351687134,0.8347575548077824,False,0.9237040733861458
90,ENSG00000005448,-0.23974241014031858,0.05854768336039465,False,0.2858864538589961
91,ENSG00000005469,-0.07227564673147364,0.4784090005544517,False,0.7108495695357967
92,ENSG00000005471,0.14609186738951813,0.04968767589814031,False,0.26677299871241106
93,ENSG00000005483,0.0771819785387276,0.530383197974224,False,0.746485914140918
94,ENSG00000005486,-0.34975789944744845,0.007587098742053539,False,0.13349707565043095
95,ENSG00000005513,0.08735492317190177,0.5891696121687147,False,0.7834838901146645
96,ENSG00000005700,0.03700310047421539,0.7016989161135543,False,0.8523154623364899
97,ENSG00000005801,0.016559558654746998,0.7628049507277489,False,0.8865342283105464
98,ENSG00000005810,-0.2811386909149856,0.0708397817449544,False,0.3070031597204576
99,ENSG00000005812,-0.10621432568455409,0.36729415674668175,False,0.624823200535789
100,ENSG00000005844,0.10499763393796586,0.5895371408648236,False,0.7836373845876001
101,ENSG00000005882,-0.14606033412921332,0.09469308130507725,False,0.3431651915138669
102,ENSG00000005884,-0.06654698068780333,0.4723680198038044,False,0.7066783015022174
103,ENSG00000005889,0.10657041606287514,0.4020333061149437,False,0.6532561372856649
104,ENSG00000005893,0.014789147456905816,0.9451844277362954,False,0.975991409777631
105,ENSG00000005955,-0.010666386099656467,0.8798491476267359,False,0.9469855926387782
