,Gene,EffectSize,P-Value,FDR,pBH
198,ENSG00000008394,0.6215777817654728,0.00014118190996200095,True,0.02002093942223042
690,ENSG00000054803,-0.6712193192285688,0.00034964115390685236,True,0.033807992897409364
1151,ENSG00000072954,-0.6161541705129335,9.951367054364019e-05,True,0.015364511789904863
1485,ENSG00000082497,-0.659667545436087,1.7395689560172067e-05,True,0.00427252482558288
1926,ENSG00000095713,-0.6772362209451821,0.00016641282934251904,True,0.02154684372965312
2149,ENSG00000100362,-1.1417419008519498,2.0989123066500176e-06,True,0.0007042885463891551
2909,ENSG00000105549,-0.6050771491736551,0.0005360861679804181,True,0.04093498995501756
3548,ENSG00000111058,0.6408510823121976,8.878282320665576e-06,True,0.0023243538242586448
3979,ENSG00000114698,0.6982014542947621,0.0002797544646690104,True,0.029943822899938043
5114,ENSG00000124785,-0.7269720181979501,3.0089566800092778e-05,True,0.006378954139026895
5138,ENSG00000125148,0.7400953288228878,0.000176946881173716,True,0.022071112550170732
6469,ENSG00000135750,-0.6051386557241252,0.000744084087228967,True,0.0489697770556434
6694,ENSG00000137033,0.7674261607644913,5.655748028834375e-05,True,0.0101526430495159
6984,ENSG00000138696,0.6904160005645862,0.0006195070052211034,True,0.043795652499666375
7718,ENSG00000144152,-0.6686598266344744,0.00025294428433827483,True,0.02777025175149797
7858,ENSG00000145248,-0.6355815265579371,0.0007600231609274244,True,0.04974393347784329
7985,ENSG00000146242,-0.6582232106148256,0.0005992406351249568,True,0.043393036143516625
8442,ENSG00000151012,0.6576923041886523,0.00033228395134300904,True,0.03271211924295805
9087,ENSG00000157087,-0.6693123679091253,0.00023090998279201672,True,0.026196187762080984
9262,ENSG00000158792,-0.630908258599774,0.0003505110076250887,True,0.033807992897409364
9554,ENSG00000161281,-0.6886484468421409,0.00023799421109889265,True,0.02649520600570102
10108,ENSG00000164112,-0.7778228712938509,2.362644270929457e-05,True,0.0052605268327685405
10319,ENSG00000165023,-0.6136415979822998,6.32808668398256e-06,True,0.0017530271762697734
11046,ENSG00000168453,-0.6882572093499733,0.0005825228304057609,True,0.04281636557593641
11667,ENSG00000171873,-0.9619795406621179,6.603176913071905e-15,True,7.491146989382144e-12
12224,ENSG00000175426,-0.8215588429504415,0.0003810087432295697,True,0.034823700035695
12379,ENSG00000176490,-0.6546646761314397,3.095938722481475e-05,True,0.006427209641541051
13195,ENSG00000182508,0.6667312918129321,9.638200466400802e-05,True,0.015007875026897563
14088,ENSG00000187730,-0.623841553540834,0.00032299146713394883,True,0.03255295590885752
15708,ENSG00000211772,-0.7117283043451266,0.00014649335525486468,True,0.0204562743323474
17267,ENSG00000227383,0.639293380521428,0.00019148261411043677,True,0.02339426563367716
17368,ENSG00000227958,-0.6081065880275224,3.7496574051047604e-05,True,0.0072627510584728295
17564,ENSG00000228879,0.6480299068293047,3.028397886140501e-06,True,0.0009132728004988772
17580,ENSG00000228976,0.6287355632726833,0.00029593466660485083,True,0.030529559834016055
18690,ENSG00000234393,0.6678857276348394,0.00038339648393646565,True,0.034823700035695
19089,ENSG00000236266,0.6209738011696001,2.3949805439943965e-06,True,0.0007698700050582432
19671,ENSG00000240589,0.6186574390413052,9.040779762321763e-05,True,0.014455539399835815
19810,ENSG00000241756,0.6014948205571927,2.0289811342932866e-05,True,0.004739063386608163
20002,ENSG00000243384,0.7250387827698049,0.0004460550666605631,True,0.036780822385754586
21303,ENSG00000254664,-0.7375524968353901,4.84593821745454e-06,True,0.0014079223425931338
21584,ENSG00000256193,-0.9895268894744219,5.434050367856364e-05,True,0.009958524304908461
22696,ENSG00000261325,-1.0855207496521198,0.0005858854591065845,True,0.04281636557593641
23288,ENSG00000266949,-0.9374763471550878,0.0004075187225079098,True,0.03550800783152734
23504,ENSG00000267765,-0.9058507944801022,5.4290108510813724e-06,True,0.001539770887097174
23561,ENSG00000268172,0.7699555910792079,2.45312868883601e-05,True,0.005361774117690743
23902,ENSG00000270393,-0.6126929662428644,0.00016583709640419274,True,0.02154684372965312
24127,ENSG00000271892,-0.6258294648736692,0.0007430121547455057,True,0.0489697770556434
